Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,New York,2016-17,Race/Ethnicity,Hispanic,62.2,55.4 to 68.6,356.0
Seasonal Influenza,States,North Carolina,2016-17,Race/Ethnicity,Hispanic,76.5,62.9 to 86.2,63.0
Seasonal Influenza,States,North Dakota,2016-17,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2016-17,Race/Ethnicity,Hispanic,60.5,55.2 to 65.6,320.0
Seasonal Influenza,States,Pennsylvania,2016-17,Race/Ethnicity,Hispanic,78.0,66.3 to 86.4,81.0
Seasonal Influenza,States,Rhode Island,2016-17,Race/Ethnicity,Hispanic,77.3,70.1 to 83.1,213.0
Seasonal Influenza,States,South Dakota,2016-17,Race/Ethnicity,Hispanic,82.2,69.5 to 90.3,46.0
Seasonal Influenza,States,Texas,2016-17,Race/Ethnicity,Hispanic,63.4,56.2 to 70.1,287.0
Seasonal Influenza,National,U.S. Median,2016-17,Race/Ethnicity,Hispanic,69.2,,132.0
Seasonal Influenza,States,Utah,2016-17,Race/Ethnicity,Hispanic,60.0,51.4 to 68.1,226.0
Seasonal Influenza,States,Vermont,2016-17,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Virginia,2016-17,Race/Ethnicity,Hispanic,61.7,47.0 to 74.4,92.0
Seasonal Influenza,States,Washington,2016-17,Race/Ethnicity,Hispanic,75.6,68.3 to 81.6,162.0
Seasonal Influenza,States,West Virginia,2016-17,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2016-17,Race/Ethnicity,Hispanic,68.9,60.0 to 76.6,124.0
Seasonal Influenza,States,Wyoming,2016-17,Race/Ethnicity,Hispanic,55.5,37.8 to 71.9,46.0
Seasonal Influenza,States,Alaska,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Arkansas,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Colorado,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Delaware,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Georgia,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Hawaii,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Illinois,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",43.1,31.4 to 55.5,77.0
Seasonal Influenza,States,Maine,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",45.3,31.5 to 59.9,117.0
Seasonal Influenza,States,Massachusetts,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",55.6,49.2 to 61.8,273.0
Seasonal Influenza,States,Michigan,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Minnesota,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",66.3,55.7 to 75.4,171.0
Seasonal Influenza,States,Missouri,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",34.2,20.5 to 51.2,48.0
Seasonal Influenza,States,Nebraska,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.5,50.7 to 62.1,230.0
Seasonal Influenza,States,New Jersey,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",34.0,28.0 to 40.4,231.0
Seasonal Influenza,States,New Mexico,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,New York,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",31.9,25.0 to 39.7,250.0
Seasonal Influenza,States,Ohio,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Oklahoma,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",44.0,32.2 to 56.6,187.0
Seasonal Influenza,States,Oregon,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Pennsylvania,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Rhode Island,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",66.1,53.0 to 77.2,89.0
Seasonal Influenza,States,Texas,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,National,U.S. Median,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",55.6,,171.0
Seasonal Influenza,States,Utah,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",45.5,27.0 to 65.4,33.0
Seasonal Influenza,States,Vermont,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Washington,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.8,49.7 to 63.7,333.0
Seasonal Influenza,States,West Virginia,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Wyoming,2010-11,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",55.9,44.1 to 67.0,68.0
Seasonal Influenza,States,Alaska,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",53.0,37.4 to 68.0,45.0
Seasonal Influenza,States,Arkansas,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Colorado,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Delaware,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Georgia,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",28.4,13.3 to 50.6,46.0
Seasonal Influenza,States,Hawaii,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",48.7,36.9 to 60.6,111.0
Seasonal Influenza,States,Illinois,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",54.0,39.6 to 67.7,60.0
Seasonal Influenza,States,Maine,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",40.4,23.2 to 60.4,44.0
Seasonal Influenza,States,Massachusetts,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",66.5,54.9 to 76.5,158.0
Seasonal Influenza,States,Michigan,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Minnesota,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",66.2,53.6 to 76.8,131.0
Seasonal Influenza,States,Missouri,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Nebraska,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.3,55.0 to 70.9,169.0
Seasonal Influenza,States,New Jersey,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",30.0,22.9 to 38.1,151.0
Seasonal Influenza,States,New Mexico,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",59.2,47.6 to 69.9,70.0
Seasonal Influenza,States,New York,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",43.8,32.9 to 55.4,108.0
Seasonal Influenza,States,Ohio,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Oklahoma,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",43.0,30.9 to 55.9,171.0
Seasonal Influenza,States,Oregon,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Pennsylvania,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",48.0,30.1 to 66.3,34.0
Seasonal Influenza,States,Rhode Island,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.6,52.7 to 79.7,54.0
Seasonal Influenza,States,Tennessee,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,National,U.S. Median,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",61.3,,77.0
Seasonal Influenza,States,Utah,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.5,42.8 to 80.2,31.0
Seasonal Influenza,States,Vermont,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Washington,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.6,60.1 to 74.3,266.0
Seasonal Influenza,States,West Virginia,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",73.9,62.3 to 83.0,83.0
Seasonal Influenza,States,Wyoming,2011-12,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",40.9,20.7 to 64.8,37.0
Seasonal Influenza,States,Alaska,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.3,57.8 to 68.5,399.0
Seasonal Influenza,States,Arkansas,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Colorado,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.5,39.3 to 72.2,66.0
Seasonal Influenza,States,Delaware,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.8,42.6 to 70.0,49.0
Seasonal Influenza,States,Georgia,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Hawaii,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.8,47.2 to 56.3,769.0
Seasonal Influenza,States,Illinois,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",58.7,47.2 to 69.3,91.0
Seasonal Influenza,States,Iowa,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maine,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",57.5,45.6 to 68.6,97.0
Seasonal Influenza,States,Massachusetts,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",73.9,66.6 to 80.1,322.0
Seasonal Influenza,States,Michigan,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.3,36.7 to 65.7,70.0
Seasonal Influenza,States,Minnesota,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",69.3,59.9 to 77.3,248.0
Seasonal Influenza,States,Missouri,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.6,35.8 to 67.1,44.0
Seasonal Influenza,States,Nebraska,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",61.0,54.0 to 67.7,288.0
Seasonal Influenza,States,New Hampshire,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,New Jersey,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",47.8,40.6 to 55.1,207.0
Seasonal Influenza,States,New Mexico,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",71.4,62.9 to 78.6,166.0
Seasonal Influenza,States,New York,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",47.3,39.7 to 55.1,252.0
Seasonal Influenza,States,Ohio,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",39.9,24.5 to 57.5,51.0
Seasonal Influenza,States,Oklahoma,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.8,40.7 to 62.7,253.0
Seasonal Influenza,States,Oregon,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",55.7,47.8 to 63.3,407.0
Seasonal Influenza,States,Pennsylvania,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.3,35.3 to 65.3,53.0
Seasonal Influenza,States,Rhode Island,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.2,57.0 to 76.1,102.0
Seasonal Influenza,States,Tennessee,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",39.3,20.7 to 61.6,30.0
Seasonal Influenza,National,U.S. Median,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",58.7,,166.0
Seasonal Influenza,States,Utah,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",55.4,39.4 to 70.3,59.0
Seasonal Influenza,States,Vermont,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Washington,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",72.3,65.1 to 78.5,290.0
Seasonal Influenza,States,West Virginia,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",58.8,49.9 to 67.1,174.0
Seasonal Influenza,States,Wyoming,2012-13,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",61.6,44.3 to 76.3,81.0
Seasonal Influenza,States,Alabama,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Alaska,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",70.2,64.8 to 75.0,409.0
Seasonal Influenza,States,Arkansas,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Colorado,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Connecticut,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",74.8,66.6 to 81.5,120.0
Seasonal Influenza,States,Delaware,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",61.9,45.4 to 76.1,39.0
Seasonal Influenza,States,Georgia,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Hawaii,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.1,44.8 to 55.4,637.0
Seasonal Influenza,States,Illinois,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",61.9,51.0 to 71.8,96.0
Seasonal Influenza,States,Iowa,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maine,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",60.9,48.9 to 71.7,97.0
Seasonal Influenza,States,Massachusetts,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",70.5,62.7 to 77.2,308.0
Seasonal Influenza,States,Michigan,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Minnesota,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",60.7,43.8 to 75.3,95.0
Seasonal Influenza,States,Missouri,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.7,35.1 to 67.9,46.0
Seasonal Influenza,States,Nebraska,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",68.4,60.7 to 75.2,282.0
Seasonal Influenza,States,New Hampshire,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,New Jersey,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",58.2,47.0 to 68.6,87.0
Seasonal Influenza,States,New Mexico,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",74.1,67.0 to 80.2,191.0
Seasonal Influenza,States,New York,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",64.4,56.6 to 71.5,233.0
Seasonal Influenza,States,Ohio,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",45.5,28.5 to 63.5,47.0
Seasonal Influenza,States,Oklahoma,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",65.9,54.6 to 75.7,247.0
Seasonal Influenza,States,Oregon,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",61.7,51.1 to 71.3,155.0
Seasonal Influenza,States,Pennsylvania,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",59.8,43.3 to 74.4,49.0
Seasonal Influenza,States,Rhode Island,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",79.1,67.7 to 87.2,80.0
Seasonal Influenza,States,Tennessee,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,National,U.S. Median,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",65.9,,109.0
Seasonal Influenza,States,Utah,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",74.5,57.2 to 86.4,53.0
Seasonal Influenza,States,Vermont,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Washington,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",71.8,64.2 to 78.4,293.0
Seasonal Influenza,States,West Virginia,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",72.7,64.4 to 79.7,171.0
Seasonal Influenza,States,Wyoming,2013-14,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",59.6,41.4 to 75.5,70.0
Seasonal Influenza,States,Alabama,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Alaska,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",65.2,59.6 to 70.3,403.0
Seasonal Influenza,States,Arkansas,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Colorado,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",61.8,43.0 to 77.7,48.0
Seasonal Influenza,States,Connecticut,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",69.9,63.4 to 75.7,202.0
Seasonal Influenza,States,Delaware,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",74.2,59.7 to 84.8,49.0
Seasonal Influenza,States,Hawaii,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",64.3,58.9 to 69.3,544.0
Seasonal Influenza,States,Illinois,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",70.9,59.3 to 80.4,84.0
Seasonal Influenza,States,Iowa,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Louisiana,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maine,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",59.7,47.7 to 70.8,89.0
Seasonal Influenza,States,Massachusetts,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",79.6,73.1 to 84.9,245.0
Seasonal Influenza,States,Michigan,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",71.3,50.6 to 85.8,31.0
Seasonal Influenza,States,Missouri,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",49.4,35.5 to 63.4,55.0
Seasonal Influenza,States,Nebraska,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",72.9,67.3 to 77.8,277.0
Seasonal Influenza,States,New Hampshire,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",81.4,58.9 to 93.0,32.0
Seasonal Influenza,States,New Jersey,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",50.7,41.7 to 59.6,137.0
Seasonal Influenza,States,New Mexico,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",81.1,72.3 to 87.6,114.0
Seasonal Influenza,States,New York,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",60.2,52.2 to 67.6,212.0
Seasonal Influenza,States,Ohio,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",51.8,34.0 to 69.1,57.0
Seasonal Influenza,States,Oklahoma,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",64.0,53.5 to 73.3,242.0
Seasonal Influenza,States,Oregon,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",78.4,72.3 to 83.5,208.0
Seasonal Influenza,States,Pennsylvania,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",74.0,59.2 to 84.9,60.0
Seasonal Influenza,States,Rhode Island,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",77.9,58.4 to 89.8,35.0
Seasonal Influenza,States,Tennessee,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.0,34.5 to 75.4,32.0
Seasonal Influenza,States,Texas,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.0,37.2 to 73.2,34.0
Seasonal Influenza,National,U.S. Median,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",69.9,,84.0
Seasonal Influenza,States,Utah,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.1,51.4 to 79.8,64.0
Seasonal Influenza,States,Vermont,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Virginia,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",69.6,46.9 to 85.5,32.0
Seasonal Influenza,States,Washington,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",74.8,68.4 to 80.2,324.0
Seasonal Influenza,States,West Virginia,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",73.2,64.9 to 80.2,176.0
Seasonal Influenza,States,Wyoming,2014-15,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",58.2,40.1 to 74.3,65.0
Seasonal Influenza,States,Alabama,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Alaska,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",65.0,59.1 to 70.5,381.0
Seasonal Influenza,States,Arkansas,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Colorado,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",77.0,64.0 to 86.3,85.0
Seasonal Influenza,States,Connecticut,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.5,55.3 to 77.6,62.0
Seasonal Influenza,States,Delaware,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.4,51.9 to 79.8,48.0
Seasonal Influenza,States,Hawaii,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",59.3,51.2 to 67.0,256.0
Seasonal Influenza,States,Illinois,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",67.1,55.2 to 77.1,88.0
Seasonal Influenza,States,Iowa,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Louisiana,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maine,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",66.9,53.4 to 78.0,76.0
Seasonal Influenza,States,Massachusetts,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",77.9,69.8 to 84.4,214.0
Seasonal Influenza,States,Michigan,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.1,49.6 to 74.8,71.0
Seasonal Influenza,States,Missouri,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.3,41.6 to 69.9,58.0
Seasonal Influenza,States,Nebraska,2015-16,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",79.3,70.7 to 85.9,104.0
