Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
Listeriosis,2017.0,30.0,7.0,,320.0,,22.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), NYC (2 ), FL (3 ), MT (1 )"
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,30.0,,-,38.0,,1.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
Chancroid,2017.0,30.0,,-,6.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,30.0,1.0,,108.0,,1.0,,83.0,,130.0,,141.0,,160.0,,52.0,,IL (1 )
"Botulism, other (wound and unspecified)",2017.0,30.0,,-,9.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,30.0,,-,3.0,,2.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
Cholera,2017.0,30.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,30.0,,-,1.0,,1.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Yellow fever,2017.0,30.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,30.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,30.0,,-,12.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,30.0,,-,,-,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,30.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,30.0,,-,21.0,,10.0,,245.0,,896.0,,,NN,,NN,,NN,
"Poliomyelitis, paralytic",2017.0,30.0,,-,,-,0.0,,,-,,-,,-,1.0,,,-,
Tularemia,2017.0,30.0,4.0,,94.0,,10.0,,230.0,,314.0,,180.0,,203.0,,149.0,,MO (4 )
Psittacosis**,2017.0,30.0,,-,3.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Streptococcal toxic-shock syndrome**,2017.0,30.0,,-,202.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,30.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,30.0,1.0,,82.0,,1.0,,159.0,,135.0,,266.0,,233.0,,263.0,,TX (1 )
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,30.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,30.0,,-,79.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,30.0,2.0,,114.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,"PA (1 ), TX (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,30.0,,-,151.0,,3.0,,187.0,,167.0,,39.0,,34.0,,37.0,,
"Rabies, human",2017.0,30.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Q fever, chronic**",2017.0,30.0,,-,16.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,30.0,3.0,,158.0,,8.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NY (1 ), AR (1 ), AZ (1 )"
"Botulism, foodborne",2017.0,30.0,,-,13.0,,0.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
"Polio virus Infection, nonparalytic**",2017.0,30.0,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,30.0,,-,12.0,,2.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Botulism, total",2017.0,30.0,,-,87.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,30.0,,-,15.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,30.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,30.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, total**",2017.0,30.0,2.0,,81.0,,4.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
"Syphilis, congenital¶¶¶",2017.0,30.0,,-,243.0,,9.0,,626.0,,493.0,,458.0,,348.0,,322.0,,
Cyclosporiasis**,2017.0,30.0,25.0,,352.0,,44.0,,535.0,,645.0,,388.0,,784.0,,123.0,,"NY (3 ), NYC (6 ), OH (1 ), MO (1 ), TX (10 ), CO (4 )"
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,30.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017.0,30.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,30.0,,-,,-,,-,2.0,,3.0,,,NN,,NN,,NN,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,30.0,1.0,,43.0,,3.0,,108.0,,183.0,,212.0,,248.0,,134.0,,OH (1 )
Hansen's disease**,2017.0,30.0,,-,40.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,30.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
Plague,2017.0,30.0,,-,1.0,,1.0,,,-,16.0,,10.0,,4.0,,4.0,,
Anthrax,2017.0,30.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,30.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2017.0,30.0,,-,65.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
Smallpox,2017.0,30.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Powassan virus disease",2017.0,30.0,,-,16.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
Diphtheria,2017.0,30.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
SARS-CoV,2017.0,30.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Marburg fever",2017.0,31.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,31.0,,-,,-,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,31.0,,-,5.0,,2.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
Cyclosporiasis**,2017.0,31.0,35.0,,445.0,,39.0,,535.0,,645.0,,388.0,,784.0,,123.0,,"NY (2 ), NYC (6 ), NE (2 ), GA (2 ), TX (19 ), CO (4 )"
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,31.0,,-,1.0,,1.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,31.0,,-,13.0,,2.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,31.0,,-,80.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,31.0,1.0,,138.0,,9.0,,307.0,,274.0,,250.0,,329.0,,274.0,,CA (1 )
"Polio virus Infection, nonparalytic**",2017.0,31.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,31.0,,-,85.0,,1.0,,159.0,,135.0,,266.0,,233.0,,263.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,31.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
Tularemia,2017.0,31.0,,-,97.0,,8.0,,230.0,,314.0,,180.0,,203.0,,149.0,,
"Rabies, human",2017.0,31.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,31.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Hansen's disease**,2017.0,31.0,,-,40.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Zika virus disease, non-congenital††††  ",2017.0,31.0,6.0,,248.0,,88.0,,5106.0,,,NN,,NN,,NN,,NN,"NY (1 ), FL (3 ), TX (2 )"
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,31.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,31.0,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever (caused by Salmonella typhi),2017.0,31.0,5.0,,165.0,,8.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), PA (1 ), OH (2 ), OK (1 )"
Measles***,2017.0,31.0,,-,117.0,,1.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
Leptospirosis**,2017.0,31.0,,-,29.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Influenza-associated pediatric mortality**,¶¶",2017.0,31.0,,-,108.0,,1.0,,83.0,,130.0,,141.0,,160.0,,52.0,,
Cholera,2017.0,31.0,,-,1.0,,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
Anthrax,2017.0,31.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2017.0,31.0,,-,65.0,,2.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,31.0,,-,41.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
Chancroid,2017.0,31.0,,-,7.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,31.0,2.0,,119.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,FL (2 )
"Q fever, total**",2017.0,31.0,2.0,,85.0,,3.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,31.0,,-,,-,0.0,,2.0,,3.0,,,NN,,NN,,NN,
"Q fever, chronic**",2017.0,31.0,,-,16.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
"Botulism, total",2017.0,31.0,,-,87.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,31.0,,-,9.0,,1.0,,35.0,,37.0,,47.0,,48.0,,40.0,,
Novel influenza A virus infections§§§,2017.0,31.0,4.0,,16.0,,11.0,,23.0,,7.0,,3.0,,21.0,,313.0,,OH (4 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,31.0,,-,15.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,31.0,,-,151.0,,2.0,,187.0,,167.0,,39.0,,34.0,,37.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,31.0,,-,9.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,31.0,,-,38.0,,1.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
Yellow fever,2017.0,31.0,,-,,-,,-,,-,,-,,-,,-,,-,
Trichinellosis**,2017.0,31.0,,-,5.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
Diphtheria,2017.0,31.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,31.0,1.0,,45.0,,3.0,,108.0,,183.0,,212.0,,248.0,,134.0,,MO (1 )
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,31.0,,-,4.0,,0.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,31.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Listeriosis,2017.0,31.0,9.0,,346.0,,21.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NYC (1 ), PA (3 ), OH (2 ), FL (1 ), AR (1 ), OK (1 )"
"Botulism, foodborne",2017.0,31.0,,-,13.0,,1.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,31.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
Streptococcal toxic-shock syndrome**,2017.0,31.0,2.0,,210.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,"NY (1 ), ID (1 )"
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,31.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, acute**",2017.0,31.0,2.0,,69.0,,3.0,,132.0,,122.0,,132.0,,137.0,,113.0,,AZ (2 )
"Syphilis, congenital¶¶¶",2017.0,31.0,,-,257.0,,9.0,,628.0,,493.0,,458.0,,348.0,,322.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,31.0,,-,17.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,31.0,,-,28.0,,9.0,,246.0,,896.0,,,NN,,NN,,NN,
SARS-CoV,2017.0,31.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Lassa fever",2017.0,31.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,31.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Smallpox,2017.0,31.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,31.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Psittacosis**,2017.0,31.0,,-,3.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Botulism, other (wound and unspecified)",2017.0,31.0,,-,9.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Poliomyelitis, paralytic",2017.0,31.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,31.0,,-,12.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
Brucellosis,2017.0,31.0,1.0,,64.0,,3.0,,127.0,,126.0,,92.0,,99.0,,114.0,,OK (1 )
Plague,2017.0,31.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,32.0,1.0,,167.0,,9.0,,376.0,,367.0,,349.0,,338.0,,354.0,,WA (1 )
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,32.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
Tularemia,2017.0,32.0,1.0,,101.0,,8.0,,230.0,,314.0,,180.0,,203.0,,149.0,,MO (1 )
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,32.0,,-,9.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
Anthrax,2017.0,32.0,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017.0,32.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,32.0,,-,1.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,32.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,32.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,32.0,2.0,,155.0,,2.0,,187.0,,167.0,,39.0,,34.0,,37.0,,"NY (1 ), FL (1 )"
"Botulism, foodborne",2017.0,32.0,,-,13.0,,1.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
Brucellosis,2017.0,32.0,1.0,,66.0,,3.0,,127.0,,126.0,,92.0,,99.0,,114.0,,NE (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,32.0,,-,40.0,,1.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,32.0,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,32.0,1.0,,14.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,TN (1 )
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,32.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,32.0,,-,140.0,,10.0,,307.0,,274.0,,250.0,,329.0,,274.0,,
"Syphilis, congenital¶¶¶",2017.0,32.0,,-,274.0,,9.0,,628.0,,493.0,,458.0,,348.0,,322.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,32.0,1.0,,119.0,,2.0,,142.0,,120.0,,196.0,,298.0,,260.0,,VA (1 )
Yellow fever,2017.0,32.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,32.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Zika virus disease, non-congenital††††  ",2017.0,32.0,1.0,,250.0,,84.0,,5107.0,,,NN,,NN,,NN,,NN,FL (1 )
Streptococcal toxic-shock syndrome**,2017.0,32.0,1.0,,212.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,MO (1 )
"Arboviral diseases¶,** La Crosse virus disease",2017.0,32.0,5.0,,11.0,,2.0,,35.0,,55.0,,80.0,,85.0,,78.0,,TN (5 )
Psittacosis**,2017.0,32.0,,-,3.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Botulism, total",2017.0,32.0,,-,87.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
Cholera,2017.0,32.0,,-,1.0,,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,32.0,,-,,-,0.0,,2.0,,3.0,,,NN,,NN,,NN,
"Botulism, infant",2017.0,32.0,,-,65.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,32.0,,-,29.0,,9.0,,246.0,,896.0,,,NN,,NN,,NN,
Diphtheria,2017.0,32.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,32.0,,-,85.0,,1.0,,159.0,,135.0,,266.0,,233.0,,263.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,32.0,,-,5.0,,0.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Botulism, other (wound and unspecified)",2017.0,32.0,,-,9.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,32.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Listeriosis,2017.0,32.0,9.0,,364.0,,22.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), NYC (3 ), PA (1 ), OH (1 ), FL (2 ), AZ (1 )"
Leptospirosis**,2017.0,32.0,,-,30.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Q fever, acute**",2017.0,32.0,1.0,,73.0,,3.0,,132.0,,122.0,,132.0,,137.0,,113.0,,TX (1 )
Chancroid,2017.0,32.0,,-,6.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,32.0,,-,,-,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
Plague,2017.0,32.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,32.0,,-,46.0,,3.0,,108.0,,183.0,,212.0,,248.0,,134.0,,
"Q fever, chronic**",2017.0,32.0,,-,16.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
"Q fever, total**",2017.0,32.0,1.0,,89.0,,3.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,32.0,,-,41.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,32.0,,-,17.0,,1.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,32.0,1.0,,83.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,ME (1 )
Hansen's disease**,2017.0,32.0,,-,41.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Polio virus Infection, nonparalytic**",2017.0,32.0,,-,,-,,-,,-,,-,,-,,-,,-,
SARS-CoV,2017.0,32.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Poliomyelitis, paralytic",2017.0,32.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Rabies, human",2017.0,32.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,32.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,32.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017.0,32.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Trichinellosis**,2017.0,32.0,,-,5.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,32.0,,-,17.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,32.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Influenza-associated pediatric mortality**,¶¶",2017.0,32.0,,-,108.0,,0.0,,83.0,,130.0,,141.0,,160.0,,52.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,32.0,,-,15.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
Measles***,2017.0,32.0,1.0,,119.0,,2.0,,85.0,,188.0,,667.0,,187.0,,55.0,,OH (1 )
"Hepatitis B, perinatal virus infection§§",2017.0,32.0,,-,9.0,,1.0,,35.0,,37.0,,47.0,,48.0,,40.0,,
Novel influenza A virus infections§§§,2017.0,32.0,3.0,,19.0,,12.0,,23.0,,7.0,,3.0,,21.0,,313.0,,"ND (1 ), OH (1 ), PA (1 )"
Cyclosporiasis**,2017.0,32.0,27.0,,548.0,,34.0,,535.0,,645.0,,388.0,,784.0,,123.0,,"RI (1 ), NY (3 ), NYC (5 ), OH (2 ), VA (1 ), TX (14 ), CA (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,33.0,2.0,,89.0,,1.0,,159.0,,135.0,,266.0,,233.0,,263.0,,"TX (1 ), AK (1 )"
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,33.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,33.0,,-,,-,0.0,,2.0,,3.0,,,NN,,NN,,NN,
Trichinellosis**,2017.0,33.0,,-,6.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
Chancroid,2017.0,33.0,,-,6.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
Measles***,2017.0,33.0,,-,120.0,,2.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
Cyclosporiasis**,2017.0,33.0,24.0,,624.0,,28.0,,535.0,,645.0,,388.0,,784.0,,123.0,,"NYC (2 ), OH (8 ), MO (1 ), AR (2 ), TX (3 ), WY (1 ), AZ (1 ), WA (6 )"
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,33.0,,-,10.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,33.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Syphilis, congenital¶¶¶",2017.0,33.0,,-,288.0,,9.0,,628.0,,493.0,,458.0,,348.0,,322.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,33.0,,-,29.0,,8.0,,246.0,,896.0,,,NN,,NN,,NN,
Anthrax,2017.0,33.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,33.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Botulism, total",2017.0,33.0,,-,88.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Botulism, foodborne",2017.0,33.0,,-,14.0,,1.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,33.0,,-,18.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
Psittacosis**,2017.0,33.0,,-,3.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Diphtheria,2017.0,33.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
Streptococcal toxic-shock syndrome**,2017.0,33.0,,-,215.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,33.0,,-,14.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,33.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
SARS-CoV,2017.0,33.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,33.0,,-,1.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,33.0,2.0,,16.0,,2.0,,35.0,,55.0,,80.0,,85.0,,78.0,,TN (2 )
"Influenza-associated pediatric mortality**,¶¶",2017.0,33.0,,-,108.0,,1.0,,83.0,,130.0,,141.0,,160.0,,52.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,33.0,,-,21.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
Hansen's disease**,2017.0,33.0,,-,41.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
Cholera,2017.0,33.0,,-,1.0,,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
